Wavelength (nm),Relative Spectral Response
393.29,4.984
406.2,5.933
419.11,7.969
427.72,9.732
433.46,11.089
442.06,12.989
450.67,15.024
462.15,17.737
469.32,19.637
476.49,21.807
487.97,25.064
499.44,28.32
513.78,31.847
522.39,34.154
532.43,37.003
542.47,39.445
553.95,42.837
561.12,45.008
572.59,47.993
585.5,51.385
599.85,54.505
614.19,57.626
629.97,60.339
641.45,62.51
654.36,64.681
670.13,67.937
683.04,70.786
697.39,74.042
713.17,77.299
731.81,80.555
749.03,83.268
764.8,85.846
777.71,88.153
792.06,89.781
800.66,91.002
813.57,92.494
830.79,94.122
845.13,95.479
859.47,96.836
872.38,97.786
885.29,98.735
896.77,99.278
906.81,99.685
918.28,100.092
931.19,99.685
942.67,99.142
952.71,98.328
961.32,96.972
969.92,95.072
977.09,93.037
984.27,90.866
990,88.695
997.18,85.168
1005.78,82.047
1010.09,79.334
1014.39,75.806
1020.13,72.007
1025.86,68.615
1030.17,65.224
1033.04,63.053
1035.91,59.525
1040.21,56.405
1044.51,52.741
1050.25,48.535
1053.12,44.872
1057.42,40.802
1061.72,37.139
1066.03,33.611
1071.77,29.812
1077.5,26.556
1083.24,23.028
1090.41,19.772
1094.72,15.973
1100.45,12.853
